ID, Elapsed, Walltime
005448,33.63, 266 seconds 0.07 hours
004647,33.85, 264 seconds 0.07 hours
004280,34.03, 263 seconds 0.07 hours
001810,34.05, 262 seconds 0.07 hours
002376,34.01, 262 seconds 0.07 hours
000810,33.50, 266 seconds 0.07 hours
005813,33.44, 267 seconds 0.07 hours
005960,33.96, 263 seconds 0.07 hours
000486,34.11, 261 seconds 0.07 hours
001422,33.89, 264 seconds 0.07 hours
005055,33.80, 265 seconds 0.07 hours
000590,34.02, 263 seconds 0.07 hours
002350,34.02, 263 seconds 0.07 hours
002821,33.87, 264 seconds 0.07 hours
003958,33.66, 265 seconds 0.07 hours
004688,33.51, 266 seconds 0.07 hours
004633,33.89, 263 seconds 0.07 hours
002381,33.97, 264 seconds 0.07 hours
004270,33.92, 263 seconds 0.07 hours
004906,33.81, 264 seconds 0.07 hours
000722,34.07, 262 seconds 0.07 hours
002356,33.94, 263 seconds 0.07 hours
001124,34.05, 262 seconds 0.07 hours
003354,34.08, 262 seconds 0.07 hours
003149,33.93, 263 seconds 0.07 hours
000052,33.84, 264 seconds 0.07 hours
000846,33.87, 263 seconds 0.07 hours
002448,33.61, 265 seconds 0.07 hours
000920,33.75, 264 seconds 0.07 hours
005243,33.94, 263 seconds 0.07 hours
001653,34.04, 263 seconds 0.07 hours
004078,33.91, 263 seconds 0.07 hours
003429,33.97, 263 seconds 0.07 hours
seg.nfo,33.53,
seg.nfo,33.63,
seg.nfo,33.90,
seg.nfo,33.87,
seg.nfo,34.09,
seg.nfo,33.50,
005580,34.07, 263 seconds 0.07 hours
004155,33.95, 264 seconds 0.07 hours
000762,33.58, 267 seconds 0.07 hours
005707,34.14, 262 seconds 0.07 hours
001058,33.39, 268 seconds 0.07 hours
002703,33.59, 266 seconds 0.07 hours
000914,33.78, 265 seconds 0.07 hours
004621,33.90, 264 seconds 0.07 hours
005687,33.96, 264 seconds 0.07 hours
003592,33.58, 267 seconds 0.07 hours
004581,34.01, 263 seconds 0.07 hours
005043,33.87, 264 seconds 0.07 hours
003465,33.54, 266 seconds 0.07 hours
004464,33.83, 264 seconds 0.07 hours
003506,34.04, 262 seconds 0.07 hours
005461,33.51, 266 seconds 0.07 hours
000960,33.92, 264 seconds 0.07 hours
004575,33.51, 266 seconds 0.07 hours
004531,33.54, 267 seconds 0.07 hours
002426,33.92, 264 seconds 0.07 hours
004830,33.54, 267 seconds 0.07 hours
004277,33.97, 264 seconds 0.07 hours
002883,34.06, 263 seconds 0.07 hours
000213,33.95, 263 seconds 0.07 hours
003109,33.59, 266 seconds 0.07 hours
005899,33.84, 264 seconds 0.07 hours
005078,34.09, 262 seconds 0.07 hours
000074,33.58, 266 seconds 0.07 hours
003196,34.04, 262 seconds 0.07 hours
001730,33.85, 264 seconds 0.07 hours
001949,33.82, 264 seconds 0.07 hours
000054,33.85, 264 seconds 0.07 hours
000644,33.94, 263 seconds 0.07 hours
001172,33.87, 264 seconds 0.07 hours
002662,34.07, 262 seconds 0.07 hours
002186,33.88, 264 seconds 0.07 hours
002989,33.61, 265 seconds 0.07 hours
002420,33.57, 267 seconds 0.07 hours
004091,33.87, 263 seconds 0.07 hours
000002,34.01, 262 seconds 0.07 hours
004331,33.92, 263 seconds 0.07 hours
002076,33.51, 266 seconds 0.07 hours
000108,33.56, 266 seconds 0.07 hours
002661,33.82, 264 seconds 0.07 hours
000357,33.96, 263 seconds 0.07 hours
003027,33.88, 263 seconds 0.07 hours
002458,33.83, 264 seconds 0.07 hours
003136,34.04, 262 seconds 0.07 hours
001296,34.04, 262 seconds 0.07 hours
004760,33.60, 265 seconds 0.07 hours
